;;;;;;;;;;;;;x
PROV3275;Pikvibulinn;;;;;;;;;;;;x
PROV3276;Piirmatukindlus;;;;;;;;;;;;x
PROV3277;Rohkepiimalinn;;;;;;;;;;;;x
PROV3278;Anizlidn;;;;;;;;;;;;x
PROV3279;Toropec;;;;;;;;;;;;x
;;;;;;;;;;;;;x
PROV273;Augusta;;;;;;;;;;;;x
PROV274;Sarun;;;;;;;;;;;;x
PROV275;Reccovene;;;;;;;;;;;;x
PROV276;Dovece;;;;;;;;;;;;x
PROV281;Eburacu;;;;;;;;;;;;x
PROV283;Sefelda;;;;;;;;;;;;x
PROV284;Castrevecu;;;;;;;;;;;;x
PROV285;Castreleun;;;;;;;;;;;;x
PROV286;Salupe;;;;;;;;;;;;x
PROV287;Metevella;;;;;;;;;;;;x
PROV288;Corenne;;;;;;;;;;;;x
PROV289;Rateucastre;;;;;;;;;;;;x
PROV290;Lenndu;;;;;;;;;;;;x
PROV291;Cantabregéu;;;;;;;;;;;;x
PROV292;Combretuveu;;;;;;;;;;;;x
PROV293;Camélu;;;;;;;;;;;;x
PROV294;Oxunea;;;;;;;;;;;;x
PROV295;Santu Albanu;;;;;;;;;;;;x
PROV296;Brestuleu;;;;;;;;;;;;x
PROV297;Saresburgu;;;;;;;;;;;;x
PROV298;Aquesule;;;;;;;;;;;;x
PROV299;Santu Stefanu;;;;;;;;;;;;x
PROV300;Lundre;;;;;;;;;;;;x
PROV301;Canteu;;;;;;;;;;;;x
PROV302;Vecta;;;;;;;;;;;;x
PROV303;Castrevictanu;;;;;;;;;;;;x
PROV317;Mezsopils;;;;;;;;;;;;x
PROV322;Rakvere;;;;;;;;;;;;x
PROV323;Tumezs;;;;;;;;;;;;x
PROV324;Dievas;;;;;;;;;;;;x
PROV325;Najapils;;;;;;;;;;;;x
PROV326;Puolauta;;;;;;;;;;;;x
PROV327;Luvanija;;;;;;;;;;;;x
PROV328;Guollia;;;;;;;;;;;;x
PROV329;Paladawa;;;;;;;;;;;;x
PROV330;Pelynas;;;;;;;;;;;;x
PROV331;Getalande;;;;;;;;;;;;x
PROV332;Gelzãpints;;;;;;;;;;;;x
PROV333;Debsã;;;;;;;;;;;;x
PROV334;Svedija;;;;;;;;;;;;x
PROV335;Pilgaîls;;;;;;;;;;;;x
PROV374;Dænigro't;;;;;;;;;;;;x
PROV375;Amstelredamme;;;;;;;;;;;;x
PROV376;Rottadamme;;;;;;;;;;;;x
PROV377;Ættreocum;;;;;;;;;;;;x
PROV378;Miðelburh;;;;;;;;;;;;x
PROV379;Eindowia;;;;;;;;;;;;x
PROV380;Breda;;;;;;;;;;;;x
PROV381;Limburh;;;;;;;;;;;;x
PROV387;Bruocsel;;;;;;;;;;;;x
PROV388;Brycg;;;;;;;;;;;;x
PROV389;Gænt;;;;;;;;;;;;x
PROV390;Æntwerp;;;;;;;;;;;;x
PROV391;Haccel;;;;;;;;;;;;x
PROV392;Namen;;;;;;;;;;;;x
PROV393;Dornic;;;;;;;;;;;;x
PROV394;Cuwin;;;;;;;;;;;;x
PROV395;Leodic;;;;;;;;;;;;x
PROV396;Eypen;;;;;;;;;;;;x
PROV397;Letseburh;;;;;;;;;;;;x
PROV398;Þeudocyrce;;;;;;;;;;;;x
PROV399;Lysle;;;;;;;;;;;;x
PROV400;Duncyrce;;;;;;;;;;;;x
PROV401;Attryct;;;;;;;;;;;;x
PROV402;Æmbian;;;;;;;;;;;;x
PROV403;Laodun;;;;;;;;;;;;x
PROV404;Cameric;;;;;;;;;;;;x
PROV405;Dornburh;;;;;;;;;;;;x
PROV546;Sætti;;;;;;;;;;;;x
PROV572;Treworum;;;;;;;;;;;;x
PROV575;Coln;;;;;;;;;;;;x
PROV576;Acen;;;;;;;;;;;;x
PROV577;Cliwia;;;;;;;;;;;;x
PROV578;Dysseldurh;;;;;;;;;;;;x
PROV679;Bylgro't;;;;;;;;;;;;x
PROV680;Kæxælin;;;;;;;;;;;;x
PROV691;Tuxel;;;;;;;;;;;;x
PROV692;Walx;;;;;;;;;;;;x
PROV923;Nod-Ardashir;;;;;;;;;;;;;;;;;;x;;;;
PROV924;Arbela;;;;;;;;;;;;;;;;;;x;;;;
PROV925;Qasr-I Shirin;;;;;;;;;;;;;;;;;;x;;;;
PROV926;Tesifon;;;;;;;;;;;;;;;;;;x;;;;
PROV927;Shumara;;;;;;;;;;;;;;;;;;x;;;;
PROV928;Dastagerd;;;;;;;;;;;;;;;;;;x;;;;
PROV929;Kadesh;;;;;;;;;;;;;;;;;;x;;;;
PROV930;Khusraw-Šabuhr;;;;;;;;;;;;;;;;;;x;;;;
PROV932;Wahištabad Ardashir;;;;;;;;;;;;;;;;;;x;;;;
PROV933;Khusraw-Mah;;;;;;;;;;;;;;;;;;x;;;;
PROV934;Hert;;;;;;;;;;;;;;;;;;x;;;;
PROV2561;Sigisburh;;;;;;;;;;;;x
PROV3258;Ælst;;;;;;;;;;;;x
PROV3265;Æsnede;;;;;;;;;;;;x
PROV3269;Vencastre;;;;;;;;;;;;;;x
;;;;;;;;;;;;;x
ENG_300;Londeneu;;;;;;;;;;;;x
ENG_273;Bretanea Segunda;;;;;;;;;;;;x
ENG_277;Valentea;;;;;;;;;;;;x
ENG_280;Eburacu;;;;;;;;;;;;x
ENG_284;Castrevecu;;;;;;;;;;;;x
ENG_291;Cesaréa;;;;;;;;;;;;x
ENG_296;Dunonnea;;;;;;;;;;;;x
RUS_1011;Tula;;;;;;;;;;;;x
AUS_734;Norica;;;;;;;;;;;;x
PRU_695;Cassubia;;;;;;;;;;;;x
